,Attacks,Malware,Vulnerabilities,SecurityBudget,DeliveryDelay,CommodityPrices,Inventory,TransportCost,AuditDeficiencies,ComplianceFailures,PolicyChanges
2020-04-08,94,38,23,23531.281719102364,8.18519871258119,20.436192104030784,172,120.96771243099421,3,9,0
2020-04-09,48,49,13,24335.804560066892,4.891106028155292,24.84254340819139,353,135.5598145368356,3,4,0
2020-04-10,42,40,10,24326.02207503644,4.091070832730503,20.505714207229076,498,350.28010526101605,1,7,0
2020-04-11,32,32,24,16252.300256287468,6.5051009136073095,25.816627000042658,103,348.0716711535351,5,5,0
2020-04-12,19,58,9,18820.53882511057,16.317364101387277,24.75890830161812,336,471.8296615553264,2,10,0
2020-04-13,78,58,48,15282.287596507063,20.109154215022002,27.28848917656625,137,586.8547173392224,8,5,0
2020-04-14,43,41,12,23551.65344971473,12.266564112518825,20.646162160135383,119,142.61789695750983,5,7,0
2020-04-15,61,52,21,18587.557620212738,11.09359624431206,17.337849125712637,212,594.4465952851841,3,7,0
2020-04-16,19,60,18,21311.17027892235,18.112795978803693,23.106167613779785,122,79.11035796129752,2,5,0
2020-04-17,28,52,10,22148.984380772887,9.064400382633472,18.135485015742454,466,109.36632467535385,0,7,0
2020-04-18,67,38,2,19298.446697431555,9.019009390522639,22.949258196623212,235,123.7155440817846,2,4,0
2020-04-19,10,47,22,18064.42336550243,7.672586989579692,16.685983465581796,347,87.6516457087296,6,3,0
2020-04-20,78,63,27,24622.129101159448,14.456553411772374,15.857970740178978,400,157.56787602931882,4,4,0
2020-04-21,13,52,28,24644.882250238545,14.238624187621014,26.082229917487417,196,363.7346876919473,3,9,0
2020-04-22,25,55,19,17894.36368030022,16.307093549695384,14.937127845928394,132,284.67437336126335,4,5,0
2020-04-23,33,53,26,19796.250967444583,6.591547279610671,25.11123889388016,234,80.38404142880277,2,6,0
2020-04-24,89,41,23,24728.441586600224,8.979139361059659,22.930154850797226,354,74.03065653341683,2,6,0
2020-04-25,11,43,24,15048.684076555031,13.294166066087387,20.47148783779384,377,63.095724155304545,2,3,0
2020-04-26,41,53,19,19126.782483791492,23.13958606076083,10.53677573782685,232,162.1937847183223,3,4,0
2020-04-27,93,58,22,16004.575496809684,9.341415783190547,27.42829560923719,337,30.543641888182975,3,6,0
2020-04-28,33,60,27,20091.579655626025,3.5189952246180565,15.325801657137943,114,60.91013621315311,5,10,0
2020-04-29,21,41,17,15246.699545404872,13.55100882921978,24.765768109395875,376,93.80131989841914,5,3,0
2020-04-30,59,54,27,19068.98431390628,3.6704607613153337,16.545295992280533,225,426.3970514587648,2,4,0
2020-05-01,44,61,21,17206.99074785335,20.10708303879502,16.144183936407583,444,130.03839185642735,0,2,0
2020-05-02,42,40,11,20333.08362458741,12.642595886055966,23.343080559564655,116,405.7994144611096,1,3,0
2020-05-03,42,64,1,24959.936491006996,12.157465402993328,22.692325183888656,411,179.03383193249212,3,4,0
2020-05-04,70,66,17,23005.36105126748,9.166838005428882,14.27451226403154,149,92.36063263991664,2,5,0
2020-05-05,60,76,20,23456.420916244213,6.5504069823466,27.183795602688967,234,96.24125390921013,5,3,0
2020-05-06,52,52,28,21352.64987359081,11.905098393407068,18.969771673119634,217,46.2444696383483,2,3,0
2020-05-07,21,52,10,15415.598482722586,4.649590388831752,20.344643335196796,477,1641.1983015708342,2,7,0
2020-05-08,76,58,26,17067.97676044144,6.1196012691983945,18.5146118801686,405,450.56959612132675,5,9,0
2020-05-09,74,57,29,24250.64556447055,13.568042271477953,14.486180444862251,159,271.4357804929902,7,4,0
2020-05-10,42,61,11,18661.131179287513,7.520733816002889,23.676122307175355,224,40.313657865641375,4,6,0
2020-05-11,49,57,28,16036.367264807956,10.536708049976983,21.447753475141027,215,94.47865266856896,5,4,0
2020-05-12,83,48,43,22024.05365866202,10.471580956912119,15.974575777770953,490,55.96163251761156,3,8,1
2020-05-13,52,62,24,17994.577239342547,9.351757950652205,24.720666649716296,272,168.60660713962386,5,6,0
2020-05-14,53,39,26,17688.569129041716,8.944857909137687,20.27418470627003,286,58.71485410822096,2,7,0
2020-05-15,38,50,45,24979.774555582604,12.877669820762263,20.38188508305035,187,75.9222218502062,6,2,0
2020-05-16,22,65,22,23581.389250266544,13.045923531954562,28.882593455455705,302,60.270637730254386,2,5,0
2020-05-17,21,37,15,19079.37818367841,5.89936041908271,11.960001042415174,460,116.77472778000595,1,5,0
2020-05-18,55,43,28,24802.612078164988,7.334677604455224,11.893980452145245,410,159.4013093298395,1,4,0
2020-05-19,11,56,22,21501.132234192137,22.84740585750563,13.019974670797803,419,119.90959165866295,8,4,0
2020-05-20,44,53,21,22420.2245187976,7.470139512022512,21.81816616580766,281,687.3931954582558,5,5,0
2020-05-21,96,41,14,15315.130430822115,6.599135343276162,18.204782084998612,451,333.98861462718645,4,6,0
2020-05-22,90,45,25,16216.05259348057,13.591061039697749,18.602267738030406,267,67.82746499900725,1,1,0
2020-05-23,99,38,7,21330.851264962384,9.2434578507829,15.287917941916739,280,205.53281018167795,6,5,0
2020-05-24,17,59,32,23990.23982649484,3.6447963627529205,28.326256369108492,399,73.6510867158341,1,3,0
2020-05-25,35,47,16,21237.43726087596,15.676861066671156,30.00508985036443,229,99.97059289785824,5,3,0
2020-05-26,83,67,10,16340.248943189918,5.983841566006074,24.494522813907686,248,239.65423649115695,2,6,0
2020-05-27,99,50,18,16157.600462463246,3.8206137037857104,12.463571635777857,405,288.7756215626259,6,4,0
2020-05-28,43,47,4,23441.858958240817,10.683566131121626,17.565515712553875,308,82.48100180835375,3,5,0
2020-05-29,16,46,23,16393.02338707914,6.256953397165891,24.13730567309858,210,49.16246437964619,6,4,0
2020-05-30,77,47,31,20202.319605040255,5.826186502813624,19.770853261193096,236,162.01736125391648,3,6,0
2020-05-31,67,51,28,15371.133199623022,11.055169223085603,24.51110222783791,454,229.20628560770652,6,5,0
2020-06-01,84,75,10,15806.697673911774,10.259506654346303,26.239076862891647,310,78.39116027329418,5,9,0
2020-06-02,38,46,10,21723.482676428648,11.405979141900504,29.53597863346101,245,335.8130201996746,1,4,0
2020-06-03,45,46,27,21891.814104275167,7.7313811182017265,16.725674206719866,183,281.26379557962264,3,6,0
2020-06-04,98,50,32,18414.694066084423,14.887360568217758,20.40642473515817,129,77.25633849263495,3,3,0
2020-06-05,30,60,19,17156.097652430446,13.138447272167868,17.796183441011173,164,459.5106807712743,2,5,0
2020-06-06,45,35,19,23137.10270757308,13.837830773662432,9.996088800183006,123,473.772516887592,4,5,0
2020-06-07,19,54,16,17171.032294698904,4.084244654145862,23.507938655285997,310,1173.4085765666744,2,4,0
2020-06-08,82,41,30,20420.270696663796,14.02175836327273,22.81720900625705,321,822.015883599941,4,5,0
2020-06-09,33,55,22,24682.088408629053,15.394736331835345,17.26586923447327,189,60.182810849203996,4,4,0
2020-06-10,73,45,15,16478.52437862384,7.9327421483252305,12.009722540355524,205,374.27189335444695,0,1,0
2020-06-11,58,26,15,24408.762674947087,5.373106340769325,18.079383704952498,271,357.6766251847936,4,3,0
2020-06-12,45,53,30,16828.930530686688,3.6270553023700476,23.655633275055564,329,104.74374051294885,2,6,1
2020-06-13,91,53,-1,20674.432080232295,6.392143535910761,26.68666440057212,176,233.90726375469828,3,7,1
2020-06-14,33,44,16,18770.077119587448,9.725480197902925,16.437106685663363,167,22.700259355537938,3,4,0
2020-06-15,32,43,21,24649.28601501826,9.626706710694497,25.538481763287805,464,22.078721841211124,2,4,0
2020-06-16,71,36,11,17735.42029001937,5.7403198849155,23.11235458094373,452,26.718549433666933,0,2,0
2020-06-17,46,57,8,18996.58002085754,4.952968745093862,22.06617040392334,488,219.04056071827605,1,3,0
2020-06-18,21,58,27,24828.601178554207,21.89039912903572,13.532239271283943,191,229.63914266836082,5,7,0
2020-06-19,64,41,30,20364.70391188473,14.704946471636502,13.749522617133968,187,112.85636306436014,4,5,0
2020-06-20,22,44,27,20026.301156212536,14.44630651335992,15.846070184497943,149,829.7870725307399,2,3,0
2020-06-21,32,49,30,17577.784882039912,12.567221258213385,18.36806241020014,202,398.24818960705744,1,3,0
2020-06-22,98,72,21,22013.635603104412,8.802482053857862,29.003730346180596,467,30.014686600204666,1,7,0
2020-06-23,39,55,27,15143.729517777776,14.379215267244701,16.68882449799732,145,124.96401228299212,3,3,0
2020-06-24,26,40,17,15495.126297022935,8.21317300112553,23.856257071256056,278,57.99255752733639,3,4,0
2020-06-25,71,53,23,20993.585871358027,5.327903997036499,17.676183809423314,366,224.52697788637028,3,6,0
2020-06-26,93,36,42,18416.74573818454,5.566351418060507,22.363536564346727,367,143.94353076986957,5,5,0
2020-06-27,98,57,13,24533.163722009605,7.571547810612193,19.685094171060808,496,61.376168589828204,4,5,0
2020-06-28,95,66,17,24031.906907227858,6.45194050837525,20.885115644968916,419,807.9276646195959,3,8,0
2020-06-29,22,66,19,22137.06258676707,10.73185212494402,21.848073979500082,107,157.18082716518256,0,3,0
2020-06-30,68,57,10,23181.455811278014,2.4071459041858905,18.752713473149424,364,97.90136189571611,7,6,0
2020-07-01,28,44,7,21673.318496676933,12.433138307068914,21.872320203485792,485,115.2219249085283,3,3,0
2020-07-02,58,36,27,16255.821027101607,8.418044091890337,26.169579142933372,177,748.9468698403416,4,5,0
2020-07-03,21,35,38,22655.433696892025,6.261938388058198,16.229422923213455,496,369.1764226090854,4,7,0
2020-07-04,70,21,18,17101.919687188463,8.06109557947404,25.929329114662806,339,126.17235787377324,4,5,0
2020-07-05,28,56,8,18234.42855100197,7.9698343408008006,18.673984971798454,357,55.03175156831898,1,6,0
2020-07-06,85,48,6,23192.3421210242,13.527513584315788,18.14503849697688,295,64.31577026097345,4,7,0
2020-07-07,18,59,30,20365.25608393448,15.754595785609729,23.49779680680537,429,91.63904066343444,3,3,0
2020-07-08,80,64,19,23599.40714183409,10.586628027122304,18.29420408445886,230,246.4516329989242,4,6,0
2020-07-09,37,50,16,17130.35319843264,14.663959901786093,21.595846252824582,489,316.24963977405537,2,8,0
2020-07-10,87,51,19,21077.784386068874,11.356001380384283,21.128739538056625,442,71.84125125040448,5,5,0
2020-07-11,61,45,16,15837.909725482616,11.089021875385312,9.582564073589484,360,330.55074360344395,3,3,0
2020-07-12,92,46,19,21430.609935400294,8.841448472589349,22.08792541051716,341,59.82263565727818,1,3,0
2020-07-13,25,57,29,22625.340377755347,11.04318753005214,12.794491493337642,486,80.49751754787955,4,4,0
2020-07-14,78,48,21,20849.308939787217,9.420826412602825,13.17559212617125,493,34.82990926506438,6,2,0
2020-07-15,21,46,24,17662.315014988104,10.032253283507098,21.832318727812382,270,33.80782396027222,1,5,0
2020-07-16,34,49,17,15313.426688588666,13.331008372288622,22.682948836581403,246,59.179348563839795,3,2,0
2020-07-17,61,58,25,16194.488839642858,5.019176496336245,26.025247284194535,369,144.64294308753733,2,3,1
2020-07-18,94,43,23,21223.029790740264,14.531977520872424,14.553162062178723,248,54.927746380096025,6,5,0
2020-07-19,62,49,10,24344.202168425138,12.426464903546062,16.293604978621328,479,663.8686819072211,1,5,0
2020-07-20,32,52,21,17065.344039720065,3.11466063583478,22.32182896922178,398,58.41092905458405,4,5,0
2020-07-21,25,61,14,22350.261491050987,8.781208835650558,26.12138729677866,127,178.3854043293229,2,6,0
2020-07-22,66,47,27,23664.510632490415,4.85091913557515,20.960873960315894,248,555.7079948949573,5,2,0
2020-07-23,48,42,18,20208.821784475113,8.419943470831887,15.610005253810144,379,162.79839654272172,2,2,0
2020-07-24,62,45,46,21692.657958436575,15.462802041883247,27.532085117905755,281,103.13967894714989,1,2,0
2020-07-25,51,60,8,23150.15316676148,4.834007724360072,18.688167348844587,265,171.9164471756932,2,4,0
2020-07-26,67,70,26,17606.751577405936,7.405163414465301,18.843996873680474,116,84.62801310196282,5,2,0
2020-07-27,48,36,23,17968.956742680428,6.034599182787572,12.820763053957982,249,54.553987405872554,2,6,0
2020-07-28,23,39,25,15006.275166284562,7.866037767285647,23.620438374732707,438,273.8844455964264,2,3,0
2020-07-29,14,48,15,24630.941308978025,10.70059991502088,24.263027946902945,144,82.83813499322473,3,9,1
2020-07-30,44,51,19,24175.44894596345,3.2781954662259585,16.470844933049275,429,378.7033812845026,4,5,0
2020-07-31,96,57,26,22645.682637594302,11.074217730708446,28.756035295278323,288,329.0674679594216,2,5,0
2020-08-01,84,41,14,15790.760209766482,18.55170558540647,17.06435806388827,238,175.26804878078633,4,7,0
2020-08-02,27,39,13,19475.02889699508,14.865388547832456,23.126272393980308,160,391.85265502365564,4,6,0
2020-08-03,85,51,21,16018.917539715529,8.564699343218058,21.118246026461048,393,86.13714901605798,3,5,0
2020-08-04,18,47,20,15159.202672627986,6.987983189803846,9.872219025197378,421,324.98431045943664,7,8,0
2020-08-05,83,59,15,21161.829652125973,18.44100630109817,22.719517417724166,132,323.29748232607443,0,4,1
2020-08-06,67,54,15,24608.294170801884,9.251425375932048,22.270623230851275,398,109.79099475772824,4,7,0
2020-08-07,26,55,15,24028.680234321502,23.238969019939333,11.168086680276097,211,96.57120490387501,5,4,0
2020-08-08,16,48,26,21967.548149354043,8.428785011054625,27.626666368497713,390,206.23752650356303,3,7,0
2020-08-09,55,73,23,15966.405841648715,7.749617080458417,22.290942149307224,136,1062.3560987565195,0,4,0
2020-08-10,22,41,28,17741.640376723,5.548768310462451,26.197005667106502,199,117.65593247470952,5,4,0
2020-08-11,49,56,38,18200.56726885291,13.683500907428803,11.419463936144371,122,94.55934498976676,4,6,0
2020-08-12,51,37,19,22631.500577455612,10.02706657750426,17.94783851858834,317,482.2172803467105,1,3,0
2020-08-13,18,39,6,23022.491792351142,9.646844215337445,25.9030125300075,188,158.87735552835522,0,3,0
2020-08-14,59,43,5,18851.061229899206,18.222105573815732,12.158543220178974,308,352.8422471018752,3,4,0
2020-08-15,36,66,15,19178.839966176096,10.563170252389702,18.094449225730028,370,648.4799770665851,4,6,0
2020-08-16,75,52,33,15445.090392761713,15.187784979886835,22.03250786280297,336,22.042581688579144,4,8,0
2020-08-17,14,44,20,17891.36718418761,11.359711647204248,10.52709835120616,487,142.93934916124797,1,6,0
2020-08-18,38,53,15,19512.8517717764,11.609072758499028,13.393051216679485,308,117.94239138887765,2,7,0
2020-08-19,46,50,17,16169.830463852575,5.1450698641299795,26.910421174987903,377,56.694048049680504,1,5,0
2020-08-20,47,45,21,19532.674607550212,2.202560026980602,20.298973031450792,305,21.788142703540704,1,2,1
2020-08-21,92,36,23,23531.758122578,11.165871523789237,25.883500468296887,177,30.21993620951742,0,2,0
2020-08-22,17,64,11,20813.210197250533,9.487505741861403,20.91047797947424,427,164.74005079862724,4,5,0
2020-08-23,74,52,38,15789.298550384123,9.364887213510174,32.27948218497423,197,87.00485926201145,3,4,0
2020-08-24,95,71,20,16916.713188302743,12.532327931968506,22.19366141597672,445,66.56416788920593,1,3,0
2020-08-25,26,59,10,19745.443501585563,4.936634067852742,26.348894702174498,464,163.11041754399997,5,5,0
2020-08-26,80,55,30,18614.87149821812,3.4325009263825605,18.769567817548463,449,74.2808329166661,5,6,0
2020-08-27,98,45,7,18587.270195460987,3.198598286950806,21.05364804209169,435,539.2507298804039,3,4,0
2020-08-28,54,39,31,20292.6744814359,9.178173765629348,23.209353887145124,193,79.76746868995458,7,7,0
2020-08-29,13,47,48,20843.959215894574,19.044531980570337,24.03903229272653,179,668.6906321888938,1,6,0
2020-08-30,45,38,24,22968.615702761912,5.45757534934155,19.805045318069872,137,144.02462155085132,3,6,0
2020-08-31,79,56,26,18409.665634624846,5.621512755724875,20.01372194845974,327,77.33142501201495,5,10,0
2020-09-01,40,66,16,23054.66283040587,9.328274188242425,22.5095987902025,233,71.91143140756301,2,4,0
2020-09-02,28,47,33,18386.112291126326,8.38556704474342,22.506315610751034,295,674.3803404767816,2,6,0
2020-09-03,70,59,20,15554.329889412338,13.550224631105456,14.874708012054803,489,297.6247247412361,2,7,0
2020-09-04,63,43,25,20541.87651004791,11.56957835745333,21.124805758413686,381,69.44824626284151,5,5,0
2020-09-05,48,46,32,20879.023248948146,5.562240090033674,21.60386963349205,200,167.18091814732392,2,7,0
2020-09-06,83,41,38,24345.402456218602,9.630315406359568,15.118409213484226,174,14.031729966438036,1,4,0
2020-09-07,99,28,28,22260.613260624745,4.172980243389843,24.529634164543474,393,39.18898378420137,3,5,0
2020-09-08,28,49,15,24177.726524944395,9.328354131490672,22.063723116109784,307,70.08517799586731,3,2,0
2020-09-09,48,51,36,24083.472102430096,4.793096443257017,31.653246567345715,182,68.38699920082362,1,10,0
2020-09-10,76,60,22,21045.741102582422,13.383890365939042,19.86993243797808,242,499.20394520556357,5,7,0
2020-09-11,54,57,32,20277.620653364476,8.467384593061533,25.680555420163575,155,21.885259483586832,2,7,0
2020-09-12,22,58,23,20574.409671636,8.266310734832153,22.695627857654433,460,35.594583268986206,4,6,0
2020-09-13,67,40,15,24783.30807677248,13.962783631722454,29.607197632766432,386,233.31616924484678,5,3,0
2020-09-14,29,54,17,22731.676917469587,4.644114531760512,15.150096212821971,310,186.8436766029112,4,1,0
2020-09-15,81,65,21,16062.659047923958,14.635775848549892,17.523429975999377,278,104.60895548095236,5,7,0
2020-09-16,70,53,26,22784.284067814,5.279016489179856,15.321462742653743,157,1155.731699916821,4,4,0
2020-09-17,48,68,16,16705.38048898226,2.444985548195062,19.6104119738007,172,275.17495403437,4,4,0
2020-09-18,10,70,21,19473.505490056257,12.254585280146593,14.376378458962492,314,504.1252280977453,2,5,0
2020-09-19,12,47,16,17104.59672176534,15.429111501001897,12.369580463723935,487,141.0620524078644,6,4,0
2020-09-20,86,43,27,21895.8306553323,11.17497092011435,9.33288248390614,365,86.17825265491506,0,6,0
2020-09-21,71,42,19,23773.097361930355,13.439063428927964,9.01265195501641,172,87.17090548994352,1,5,0
2020-09-22,72,34,7,17903.61885366681,19.647074994917848,23.281958452810738,370,375.27718441694606,0,6,0
2020-09-23,34,44,11,15820.107412081876,9.555891212769033,17.722808751636315,453,321.4198902620188,2,7,0
2020-09-24,65,62,6,17984.930980749632,15.271252474871345,13.831239695523681,333,119.2702429443281,1,3,0
2020-09-25,42,27,19,21723.618579321945,14.656840803765046,16.704601841438656,418,237.83664075709726,2,4,0
2020-09-26,47,39,9,18287.6012755445,11.212382512883986,17.360485264804275,118,388.626238020655,8,5,0
2020-09-27,15,48,9,17781.121675538034,14.938543328426793,15.17699894921391,212,84.4424738949812,5,9,0
2020-09-28,67,41,33,16844.35190584265,6.00381913294185,28.02775247118636,162,105.27800577340663,2,4,1
2020-09-29,53,44,29,19975.164268744335,19.83368752293274,27.084144514071365,471,231.9775272459512,1,4,0
2020-09-30,54,44,19,17759.488281571874,11.310834629879375,27.9424492430597,283,24.812306064270835,2,6,0
2020-10-01,41,47,41,22310.10349139483,9.373145512025754,20.89598193844056,376,236.41581329254223,5,4,0
2020-10-02,54,42,-22,15766.224019922027,5.570788983551503,21.402322434695847,261,48.18033452771539,5,9,0
2020-10-03,70,41,22,21640.330331113175,8.739562962813611,16.736929713075163,342,380.56363010931284,2,8,0
2020-10-04,56,59,22,17375.600145677698,7.335927721895011,15.764644468856385,244,1271.2867140747267,4,5,0
2020-10-05,30,60,19,19892.79261051603,6.354539481256557,20.108627908771023,245,73.90878407128295,1,6,0
2020-10-06,89,36,17,17860.899220312607,9.72053749765699,23.261780125733424,180,38.488375673207756,1,2,0
2020-10-07,94,22,19,22227.686760107958,7.889130093146751,25.978840759296986,421,123.97641788827387,1,6,0
2020-10-08,84,60,18,24453.070402516365,10.131390825793517,17.270054284664948,420,113.83388275551061,5,6,1
2020-10-09,45,37,24,24170.767794698135,11.039568588732966,13.736330756148103,142,287.3565630067774,2,4,0
2020-10-10,28,52,10,20834.26215144091,12.090547569783656,23.669924932831364,412,187.55296975893359,4,3,0
2020-10-11,29,34,12,19626.103032569783,11.602527062767173,10.909282242353946,493,110.35138872470793,4,8,0
2020-10-12,66,62,12,23183.00509439382,16.99823327017893,19.80394715505697,392,162.48953532965112,5,4,0
2020-10-13,27,75,14,21833.2636262773,6.666111587053773,20.446523129066883,275,48.32009815082037,4,6,0
2020-10-14,56,51,20,16835.64114216933,9.988457307653599,18.10606099383041,475,340.09161710599113,3,1,0
2020-10-15,58,49,9,23209.192136130005,8.547799862676062,12.273774457452188,168,748.4176239460351,3,4,0
2020-10-16,23,46,29,19288.8438939471,6.609318083782656,18.171944954893913,155,44.808724430821236,3,7,0
2020-10-17,24,57,15,16889.85659971175,9.98777080223811,28.21271225500809,218,30.592259595590306,5,4,0
2020-10-18,40,55,11,17817.973503964924,13.73314613427156,22.95860800683208,303,99.27676673693368,4,5,0
2020-10-19,10,60,23,17675.270302483423,9.697240872575382,25.808573010147597,154,43.75165859713458,3,3,0
2020-10-20,63,43,3,20192.069746034602,9.51307632273025,13.913990864088714,137,41.42076465883717,2,4,0
2020-10-21,12,53,22,17343.700906778755,7.1788760188050365,21.278539661386592,342,36.52443557313967,4,8,0
2020-10-22,25,44,24,16235.664874015762,7.981283050237096,20.441701758497814,300,122.29028503280304,5,5,1
2020-10-23,96,39,13,16236.908506137606,7.050132846657474,20.53852725651562,335,98.35442442431545,1,8,0
2020-10-24,66,49,4,20832.761971390966,7.070218763081716,22.7792296637274,114,215.5638005869261,5,8,0
2020-10-25,84,40,17,22347.592888493786,14.299950393645739,20.736612504782904,243,84.51979819517342,5,9,1
2020-10-26,21,61,8,18215.33008838341,7.969245125440487,14.05270463250288,176,43.963375155216845,2,8,0
2020-10-27,83,41,9,15346.507098140171,9.1923665165103,23.066270244926987,408,145.92853565893182,2,0,0
2020-10-28,25,53,14,16272.248869370107,8.010327018641748,24.204421398652578,362,51.49290121357519,2,8,0
2020-10-29,81,43,15,24146.945603370572,6.335941978700152,26.597394853132194,284,247.68830457366286,2,3,0
2020-10-30,85,52,20,19935.43659589453,4.333037457420863,26.818264219587995,154,28.044069936681666,4,2,0
2020-10-31,33,44,23,19535.728096151746,16.146136765173857,22.382165334286952,407,17.032345131373685,3,2,0
2020-11-01,37,37,21,15380.49178310091,0.7399904695617466,14.285814459513817,103,29.672696097776097,1,4,0
2020-11-02,17,54,11,22286.37022316899,9.662233842910885,12.353080828927018,398,97.67841273791132,5,6,0
2020-11-03,45,47,12,20280.680809320787,2.832038643812605,18.8645319677998,139,111.37135341712701,2,4,0
2020-11-04,99,52,29,17020.80936086521,8.921643464097178,24.597354872635062,329,170.19448004888076,3,1,0
2020-11-05,17,45,21,16100.737601810572,6.186545577788098,24.27517534098785,476,84.37723569790913,0,5,0
2020-11-06,67,36,29,18833.878636319983,14.141196478737273,21.369996311315894,385,63.65590172505014,1,5,0
2020-11-07,69,60,17,23371.619641950256,11.41483977471037,19.81720380604391,237,622.2080800432954,3,6,0
2020-11-08,59,57,22,23652.945592010245,5.862648727574866,29.5186761209984,202,477.65342564693486,2,4,0
2020-11-09,37,44,20,21028.463803956365,9.79209974592717,22.870159379405674,106,397.900681773841,2,3,0
2020-11-10,50,50,16,22275.364272301427,7.699697902344712,19.563634615535857,263,202.12701628212727,3,3,0
2020-11-11,73,60,19,16151.557874028704,6.350692068271869,16.77279488166819,464,218.8762110941923,2,4,0
2020-11-12,36,45,20,20881.260654678546,14.873321261560198,14.95697341145383,375,66.34060242028622,3,5,0
2020-11-13,72,46,13,21669.657034871816,4.341307939757887,14.464679927049279,148,171.4614205476678,5,5,0
2020-11-14,26,52,16,17007.128429137923,13.989507802241006,14.957532885913142,195,57.98200941782031,3,4,0
2020-11-15,82,45,26,23801.547329102592,8.325088061832622,21.404760566293813,158,51.765644693697794,5,4,0
2020-11-16,42,58,31,16949.9673752102,5.471913251902825,19.909651697345623,330,29.44459084577866,4,4,0
2020-11-17,93,48,17,18134.773598464504,10.60024812404389,18.370426188547704,276,222.7547926534924,4,10,0
2020-11-18,86,42,15,21205.568470234586,15.243441492916036,23.682389675509782,189,174.8051215416759,4,3,0
2020-11-19,38,56,12,21383.50065130731,4.929448051949423,29.04587467086246,381,109.63044536547505,2,7,0
2020-11-20,22,38,23,21993.847409873673,14.835053880940405,15.88326531856,135,96.17730479165115,2,6,1
2020-11-21,55,70,16,16120.117130682056,6.907536952648593,16.628569783907068,270,23.80494926293232,5,0,0
2020-11-22,44,65,41,23494.644299285552,15.45701114816502,8.914738041432697,225,191.78971918073017,5,11,0
2020-11-23,15,55,16,20328.4713228326,8.513078250741666,19.868345822651488,398,108.2517937412891,1,6,0
2020-11-24,91,54,17,19713.217941050683,8.364198374985126,19.36189715786623,454,363.579220166718,3,6,0
2020-11-25,78,53,22,24810.976245135098,7.288794947672941,24.46395122607197,303,171.77944473226964,8,4,0
2020-11-26,56,45,26,22403.782969410197,10.125337775340817,19.56593638019675,388,300.6010244120238,3,5,0
2020-11-27,34,52,19,16180.060266193748,9.873683279658424,17.059453511022493,455,147.34246946136994,6,3,0
2020-11-28,75,40,18,22565.391672262405,9.2699683087989,20.963428711525435,196,177.98119028560996,1,1,0
2020-11-29,19,55,47,15952.489339728694,8.866213295747372,22.785341795708266,337,376.57840692670254,3,7,0
2020-11-30,65,58,-2,15274.705625129849,5.802380859022953,11.911354704375823,272,122.43872927338532,2,8,0
2020-12-01,39,46,30,19036.258952698972,12.07065744332293,25.034454953660237,400,237.9010636277236,1,3,0
2020-12-02,14,44,11,24935.78172819219,11.704938338260312,26.531513933575592,187,95.24719694735863,2,7,0
2020-12-03,42,37,26,16748.839361948627,8.398449355700539,22.73727570489963,498,130.17674322760402,3,6,0
2020-12-04,74,64,22,21726.4434352679,4.503453928000393,15.327224698590395,450,730.3500929828092,4,3,0
2020-12-05,27,44,16,16733.960662061192,5.839389989614016,18.369867307590482,116,281.6053666919128,2,4,0
2020-12-06,58,48,29,22247.86974958386,12.887361279902876,25.914372478611156,239,86.36142372108363,2,4,0
2020-12-07,20,53,-1,20053.53668237826,5.134984494388424,15.108895731728005,353,226.53946320384026,3,6,0
2020-12-08,94,52,13,21799.717100893762,10.240139232752403,23.143218538825955,377,41.265166848331475,5,7,0
2020-12-09,35,57,21,17028.731759142345,11.216335363711208,19.746139953634206,250,118.96243670986193,3,2,0
2020-12-10,72,46,16,22456.28332520502,7.610307312858449,20.800966247534863,445,57.20124701888076,3,5,1
2020-12-11,98,38,22,24956.19059622707,9.750144071073676,15.821142613375947,433,233.20227211528098,2,6,0
2020-12-12,95,36,1,21656.5050062596,13.498547147332694,21.65332142551071,239,122.86281753105413,1,7,0
2020-12-13,68,44,9,19934.799980728778,8.868536398245231,21.295378685571677,213,197.05413256322322,3,3,0
2020-12-14,36,40,10,24231.73988619265,6.709727582482799,12.453207047166925,167,321.8802295859148,4,5,0
2020-12-15,58,46,12,15158.518422318763,5.122350265867464,19.977780527248154,465,93.67072816548831,2,7,0
2020-12-16,86,63,19,22299.23519285821,7.795950858674015,23.06948578539988,278,97.07808779596279,1,4,0
2020-12-17,42,46,25,23887.46516813813,9.654394338598385,18.073583748518033,224,143.0169020459565,5,4,0
2020-12-18,10,46,31,15616.745836209575,3.056714480698642,7.761347244477932,496,62.77166174947369,2,7,0
2020-12-19,30,49,28,19500.641704157584,10.753775645536491,19.425916375510315,412,146.75829940349604,2,2,0
2020-12-20,64,45,12,17047.19453949999,9.20530432718134,27.3323396657266,410,154.71160835844796,5,7,1
2020-12-21,15,49,18,20665.181655878303,8.888593732490097,18.27765255269569,437,186.5949482001779,1,4,0
2020-12-22,90,55,13,21495.429586036604,6.648668841744771,27.143255414286045,462,225.77759953797874,3,0,1
2020-12-23,78,58,14,18026.23182928755,10.853032508065063,15.938212218444821,457,29.870869583371416,6,3,0
2020-12-24,14,60,20,19599.81669678101,8.300151328502677,14.195146771365087,332,41.05359882803568,4,2,0
2020-12-25,12,70,6,17793.394852765596,10.367095658320228,19.974486810887054,246,46.192421422243775,6,2,0
